mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.5960656642913817,0.11562368946765686,0.002992582321166992,0.0008937232223657305,identity,lbfgs,"{'activation': 'identity', 'solver': 'lbfgs'}",0.9814944134078212,0.9752094972067039,0.980440097799511,0.9745022703457912,0.9779951100244498,0.9779282777568554,0.0027626192072131984,1
2.9562543869018554,0.3938128238816583,0.0038596153259277343,0.00016058064594244183,logistic,lbfgs,"{'activation': 'logistic', 'solver': 'lbfgs'}",0.9804469273743017,0.9710195530726257,0.980440097799511,0.9741529863779252,0.9752008382815229,0.9762520805811773,0.003688546565066099,2
3.8140968799591066,0.6610557983550375,0.0032599925994873046,0.0003954622918920128,logistic,adam,"{'activation': 'logistic', 'solver': 'adam'}",0.9793994413407822,0.9741620111731844,0.9769472581208523,0.9741529863779252,0.9758994062172547,0.9761122206459998,0.001959097412930366,3
3.236132287979126,1.4857111828733038,0.0029572963714599608,0.0006332663952723686,relu,adam,"{'activation': 'relu', 'solver': 'adam'}",0.9793994413407822,0.9731145251396648,0.9762486901851205,0.9758994062172547,0.9734544184421935,0.9756232962650031,0.00226824114520433,4
2.5271767139434815,0.21167296436585661,0.003866243362426758,0.001566139422802521,relu,lbfgs,"{'activation': 'relu', 'solver': 'lbfgs'}",0.9762569832402235,0.9738128491620112,0.9755501222493888,0.9741529863779252,0.9752008382815229,0.9749947558622143,0.0008999554493431935,5
1.1008848190307616,0.1486812520662081,0.0027688980102539063,0.0002995796227536198,identity,adam,"{'activation': 'identity', 'solver': 'adam'}",0.9787011173184358,0.9720670391061452,0.9745022703457912,0.9717079986028642,0.9772965420887181,0.9748549934923909,0.002776851027553998,6
3.6973185539245605,1.41103646742084,0.004013824462890625,8.490559278974103e-05,tanh,adam,"{'activation': 'tanh', 'solver': 'adam'}",0.9766061452513967,0.9745111731843575,0.9752008382815229,0.9731051344743277,0.974851554313657,0.9748549691010524,0.0011283946041636141,7
3.1319077968597413,0.16424110615458243,0.004453611373901367,0.00038622845531718274,tanh,lbfgs,"{'activation': 'tanh', 'solver': 'lbfgs'}",0.9811452513966481,0.9689245810055865,0.9731051344743277,0.97205728257073,0.9755501222493888,0.9741564743393362,0.004090718487084571,8
2.535407781600952,1.2945615348368915,0.0031438350677490236,0.0001527425905657081,relu,sgd,"{'activation': 'relu', 'solver': 'sgd'}",0.977304469273743,0.9699720670391061,0.9738037024100594,0.9738037024100594,0.9713587146349982,0.9732485311535932,0.002504942628084456,9
3.3155529499053955,0.7394028024294326,0.00413045883178711,0.00042616435288515126,tanh,sgd,"{'activation': 'tanh', 'solver': 'sgd'}",0.9738128491620112,0.9706703910614525,0.9727558505064617,0.9713587146349982,0.9661194551170101,0.9709434520963868,0.0026471184211842294,10
1.3016783237457275,1.3649049371860722,0.0028211593627929686,0.0007099986219464571,identity,sgd,"{'activation': 'identity', 'solver': 'sgd'}",0.973463687150838,0.9078212290502793,0.9741529863779252,0.9703108627314007,0.97205728257073,0.9595612095762347,0.025903402483106616,11
0.6441337108612061,0.028656691203269774,0.0033967971801757814,0.0003490757863303842,logistic,sgd,"{'activation': 'logistic', 'solver': 'sgd'}",0.9078212290502793,0.9078212290502793,0.9081383164512749,0.9081383164512749,0.907789032483409,0.9079416246973034,0.00016102788550224854,12
